id	source	capability	reference_derived_from_direct	coverage_tier	scope_reason	nvrtc-o3_classification	nvrtc-o3_elapsed_ms	nvrtc-o3_shape	nvrtc-o3_cluster	nvrtc-o3_producer	nvrtc-o3_diagnostic	nvvm-o0_classification	nvvm-o0_elapsed_ms	nvvm-o0_shape	nvvm-o0_cluster	nvvm-o0_producer	nvvm-o0_diagnostic	nvvm-o3_classification	nvvm-o3_elapsed_ms	nvvm-o3_shape	nvvm-o3_cluster	nvvm-o3_producer	nvvm-o3_diagnostic	evidence_status
hlsl-intrinsic/byte-address-buffer/byte-address-struct.slang#cuda-1	hlsl-intrinsic/byte-address-buffer/byte-address-struct.slang	cuda_sm_7_0	False	mvp		correct	4009					correct	4180					correct	3975					complete
hlsl-intrinsic/classify-double.slang#cuda-1	hlsl-intrinsic/classify-double.slang	cuda_sm_7_0	False	mvp		correct	4025					preflight	4172	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asdouble($0, $1), signature=double(uint, uint)'	preflight	4157	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asdouble($0, $1), signature=double(uint, uint)'	complete
hlsl-intrinsic/classify-float.slang#cuda-1	hlsl-intrinsic/classify-float.slang	cuda_sm_7_0	False	mvp		correct	4102					preflight	3847	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_isnan($0), signature=bool(float)'	preflight	3727	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_isnan($0), signature=bool(float)'	complete
hlsl-intrinsic/countbits.slang#cuda-1	hlsl-intrinsic/countbits.slang	cuda_sm_7_0	False	mvp		correct	4116					correct	3872					correct	4114					complete
hlsl-intrinsic/countbits16.slang#cuda-1	hlsl-intrinsic/countbits16.slang	cuda_sm_7_0	False	mvp		correct	4168					correct	4219					correct	4273					complete
hlsl-intrinsic/countbits64.slang#cuda-1	hlsl-intrinsic/countbits64.slang	cuda_sm_7_0	False	mvp		correct	4012					correct	4236					correct	4561					complete
hlsl-intrinsic/countbits8.slang#cuda-1	hlsl-intrinsic/countbits8.slang	cuda_sm_7_0	False	mvp		correct	4013					correct	4064					correct	4545					complete
hlsl-intrinsic/dot-accumulate.slang#cuda-1	hlsl-intrinsic/dot-accumulate.slang	cuda_sm_7_0	False	mvp		correct	4222					correct	3923					correct	4325					complete
hlsl-intrinsic/f16tof32.slang#cuda-1	hlsl-intrinsic/f16tof32.slang	cuda_sm_7_0	False	mvp		correct	4203					preflight	4287	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=__half2float(__ushort_as_half($0)), signature=float(uint)'	preflight	4024	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=__half2float(__ushort_as_half($0)), signature=float(uint)'	complete
hlsl-intrinsic/f32tof16.slang#cuda-1	hlsl-intrinsic/f32tof16.slang	cuda_sm_7_0	False	mvp		correct	4183					preflight	4200	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=__half_as_ushort(__float2half($0)), signature=uint(float)'	preflight	3996	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=__half_as_ushort(__float2half($0)), signature=uint(float)'	complete
hlsl-intrinsic/firstbithigh.slang#cuda-1	hlsl-intrinsic/firstbithigh.slang	cuda_sm_7_0	False	mvp		correct	4002					correct	4048					correct	3930					complete
hlsl-intrinsic/firstbithigh64.slang#cuda-1	hlsl-intrinsic/firstbithigh64.slang	cuda_sm_7_0	False	mvp		correct	4145					correct	3795					correct	3969					complete
hlsl-intrinsic/firstbitlow.slang#cuda-1	hlsl-intrinsic/firstbitlow.slang	cuda_sm_7_0	False	mvp		correct	4102					correct	4111					correct	4024					complete
hlsl-intrinsic/firstbitlow64.slang#cuda-1	hlsl-intrinsic/firstbitlow64.slang	cuda_sm_7_0	False	mvp		correct	4161					correct	4322					correct	4286					complete
hlsl-intrinsic/literal-int64.slang#cuda-1	hlsl-intrinsic/literal-int64.slang	cuda_sm_7_0	False	mvp		correct	3965					correct	3933					correct	4449					complete
hlsl-intrinsic/matrix-cast-to-vector.slang#cuda-1	hlsl-intrinsic/matrix-cast-to-vector.slang	cuda_sm_7_0	False	mvp		correct	4200					correct	3945					correct	4410					complete
hlsl-intrinsic/matrix-double-reduced-intrinsic.slang#cuda-1	hlsl-intrinsic/matrix-double-reduced-intrinsic.slang	cuda_sm_7_0	False	mvp		correct	4176					preflight	4066	add	preflight-other	canonical linked IR -> _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'add'	preflight	3971	add	preflight-other	canonical linked IR -> _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'add'	complete
hlsl-intrinsic/matrix-double.slang#cuda-1	hlsl-intrinsic/matrix-double.slang	cuda_sm_7_0	False	mvp		correct	5497					preflight	4332	struct field address	aggregate-pointer-layout-transport	canonical linked aggregate/pointer IR -> _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'struct field address'	preflight	4027	struct field address	aggregate-pointer-layout-transport	canonical linked aggregate/pointer IR -> _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'struct field address'	complete
hlsl-intrinsic/matrix-float.slang#cuda-1	hlsl-intrinsic/matrix-float.slang	cuda_sm_7_0	False	mvp		correct	5070					preflight	4176	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_tan($0), signature=float(float)'	preflight	4140	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_tan($0), signature=float(float)'	complete
hlsl-intrinsic/matrix-int-runtime-index.slang#cuda-1	hlsl-intrinsic/matrix-int-runtime-index.slang	cuda_sm_7_0	False	mvp		correct	4003					correct	3971					correct	3922					complete
hlsl-intrinsic/matrix-int.slang#cuda-1	hlsl-intrinsic/matrix-int.slang	cuda_sm_7_0	False	mvp		correct	4189					preflight	3921	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_abs($0), signature=int(int)'	preflight	3752	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_abs($0), signature=int(int)'	complete
hlsl-intrinsic/min-max-iarithmetic.slang#cuda-1	hlsl-intrinsic/min-max-iarithmetic.slang	cuda_sm_7_0	False	mvp		correct	4114					correct	4426					correct	4047					complete
hlsl-intrinsic/packed/pack-unpack-float.slang#cuda-1	hlsl-intrinsic/packed/pack-unpack-float.slang	cuda_sm_7_0	False	mvp		correct	4349					preflight	4228	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_round($0), signature=float(float)'	preflight	4136	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_round($0), signature=float(float)'	complete
hlsl-intrinsic/packed/pack-unpack.slang#cuda-1	hlsl-intrinsic/packed/pack-unpack.slang	cuda_sm_7_0	False	mvp		correct	3962					correct	3889					correct	4252					complete
hlsl-intrinsic/packed/pack-unpack.slang#cuda-2	hlsl-intrinsic/packed/pack-unpack.slang	cuda_sm_7_0	False	mvp		correct	3996					correct	4046					correct	4056					complete
hlsl-intrinsic/packed/unpack-float.slang#cuda-1	hlsl-intrinsic/packed/unpack-float.slang	cuda_sm_7_0	False	mvp		correct	4226					preflight	3933	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=__half2float(__ushort_as_half($0)), signature=float(uint)'	preflight	4092	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=__half2float(__ushort_as_half($0)), signature=float(uint)'	complete
hlsl-intrinsic/quad-control/quad-control-comp-functionality.slang#cuda-1	hlsl-intrinsic/quad-control/quad-control-comp-functionality.slang	cuda_sm_7_0	False	extension	advanced wave/quad operation outside the initial MVP	correct	4111					preflight	3945	RequireMaximallyReconverges	residual-target-marker-or-undefined-value	named upstream IR producer -> _validateNVVMFunction default rejection	direct NVVM lowering does not support Slang IR instruction or shape 'RequireMaximallyReconverges'	preflight	3881	RequireMaximallyReconverges	residual-target-marker-or-undefined-value	named upstream IR producer -> _validateNVVMFunction default rejection	direct NVVM lowering does not support Slang IR instruction or shape 'RequireMaximallyReconverges'	complete
hlsl-intrinsic/reversebits.slang#cuda-1	hlsl-intrinsic/reversebits.slang	cuda_sm_7_0	False	mvp		correct	4121					correct	4080					correct	3948					complete
hlsl-intrinsic/reversebits64.slang#cuda-1	hlsl-intrinsic/reversebits64.slang	cuda_sm_7_0	False	mvp		correct	4084					correct	3713					correct	3980					complete
hlsl-intrinsic/scalar-bf16.slang#cuda-1	hlsl-intrinsic/scalar-bf16.slang	cuda_sm_7_0	False	mvp		correct	4391					preflight	4082	helper function result type	helper-abi-type-contract	post-specialization linked IRFunc signature -> _validateNVVMHelperTarget	direct NVVM lowering does not support Slang IR instruction or shape 'helper function result type: BFloat16'	preflight	3767	helper function result type	helper-abi-type-contract	post-specialization linked IRFunc signature -> _validateNVVMHelperTarget	direct NVVM lowering does not support Slang IR instruction or shape 'helper function result type: BFloat16'	complete
hlsl-intrinsic/scalar-double-abs.slang#cuda-1	hlsl-intrinsic/scalar-double-abs.slang	cuda_sm_7_0	False	mvp		correct	4109					preflight	3990	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_abs($0), signature=double(double)'	preflight	3806	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_abs($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-acos.slang#cuda-1	hlsl-intrinsic/scalar-double-acos.slang	cuda_sm_7_0	False	mvp		correct	4162					preflight	3716	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_acos($0), signature=double(double)'	preflight	3969	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_acos($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-asdouble.slang#cuda-1	hlsl-intrinsic/scalar-double-asdouble.slang	cuda_sm_7_0	False	mvp		correct	4163					preflight	3643	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asdouble($0, $1), signature=double(uint, uint)'	preflight	3837	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asdouble($0, $1), signature=double(uint, uint)'	complete
hlsl-intrinsic/scalar-double-asin.slang#cuda-1	hlsl-intrinsic/scalar-double-asin.slang	cuda_sm_7_0	False	mvp		correct	4127					preflight	3919	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asin($0), signature=double(double)'	preflight	3808	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asin($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-asuint.slang#cuda-1	hlsl-intrinsic/scalar-double-asuint.slang	cuda_sm_7_0	False	mvp		correct	4314					preflight	3864	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asuint($0, $1, $2), signature=Void(double, OutParam<uint>, OutParam<uint>)'	preflight	3701	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asuint($0, $1, $2), signature=Void(double, OutParam<uint>, OutParam<uint>)'	complete
hlsl-intrinsic/scalar-double-atan.slang#cuda-1	hlsl-intrinsic/scalar-double-atan.slang	cuda_sm_7_0	False	mvp		correct	4215					preflight	3944	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_atan($0), signature=double(double)'	preflight	3776	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_atan($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-atan2.slang#cuda-1	hlsl-intrinsic/scalar-double-atan2.slang	cuda_sm_7_0	False	mvp		correct	4171					preflight	3640	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_atan2($0, $1), signature=double(double, double)'	preflight	3837	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_atan2($0, $1), signature=double(double, double)'	complete
hlsl-intrinsic/scalar-double-ceil.slang#cuda-1	hlsl-intrinsic/scalar-double-ceil.slang	cuda_sm_7_0	False	mvp		correct	4305					preflight	4157	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_ceil($0), signature=double(double)'	preflight	3691	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_ceil($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-clamp.slang#cuda-1	hlsl-intrinsic/scalar-double-clamp.slang	cuda_sm_7_0	False	mvp		correct	4359					correct	4263					correct	3876					complete
hlsl-intrinsic/scalar-double-cos.slang#cuda-1	hlsl-intrinsic/scalar-double-cos.slang	cuda_sm_7_0	False	mvp		correct	4087					correct	4021					correct	4181					complete
hlsl-intrinsic/scalar-double-d3d-intrinsic.slang#cuda-1	hlsl-intrinsic/scalar-double-d3d-intrinsic.slang	cuda_sm_7_0	False	mvp		correct	4177					preflight	3853	struct field address	aggregate-pointer-layout-transport	canonical linked aggregate/pointer IR -> _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'struct field address'	preflight	4030	struct field address	aggregate-pointer-layout-transport	canonical linked aggregate/pointer IR -> _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'struct field address'	complete
hlsl-intrinsic/scalar-double-exp.slang#cuda-1	hlsl-intrinsic/scalar-double-exp.slang	cuda_sm_7_0	False	mvp		correct	4012					preflight	3860	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_exp($0), signature=double(double)'	preflight	3943	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_exp($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-exp2.slang#cuda-1	hlsl-intrinsic/scalar-double-exp2.slang	cuda_sm_7_0	False	mvp		correct	4035					preflight	3932	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_exp2($0), signature=double(double)'	preflight	3736	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_exp2($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-floor.slang#cuda-1	hlsl-intrinsic/scalar-double-floor.slang	cuda_sm_7_0	False	mvp		correct	4137					preflight	3952	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_floor($0), signature=double(double)'	preflight	3907	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_floor($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-frac.slang#cuda-1	hlsl-intrinsic/scalar-double-frac.slang	cuda_sm_7_0	False	mvp		correct	4198					preflight	3874	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_frac($0), signature=double(double)'	preflight	3854	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_frac($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-ldexp.slang#cuda-1	hlsl-intrinsic/scalar-double-ldexp.slang	cuda_sm_7_0	False	mvp		correct	4159					preflight	4043	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_exp2($0), signature=float(float)'	preflight	3762	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_exp2($0), signature=float(float)'	complete
hlsl-intrinsic/scalar-double-lerp.slang#cuda-1	hlsl-intrinsic/scalar-double-lerp.slang	cuda_sm_7_0	False	mvp		correct	4181					correct	4096					correct	3780					complete
hlsl-intrinsic/scalar-double-log.slang#cuda-1	hlsl-intrinsic/scalar-double-log.slang	cuda_sm_7_0	False	mvp		correct	4236					preflight	4048	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_log($0), signature=double(double)'	preflight	4159	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_log($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-log10.slang#cuda-1	hlsl-intrinsic/scalar-double-log10.slang	cuda_sm_7_0	False	mvp		correct	4257					preflight	3910	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_log10($0), signature=double(double)'	preflight	4007	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_log10($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-log2.slang#cuda-1	hlsl-intrinsic/scalar-double-log2.slang	cuda_sm_7_0	False	mvp		correct	4249					preflight	3849	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_log2($0), signature=double(double)'	preflight	3983	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_log2($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-max.slang#cuda-1	hlsl-intrinsic/scalar-double-max.slang	cuda_sm_7_0	False	mvp		correct	4238					correct	4032					correct	3848					complete
hlsl-intrinsic/scalar-double-min.slang#cuda-1	hlsl-intrinsic/scalar-double-min.slang	cuda_sm_7_0	False	mvp		correct	4371					correct	4097					correct	4044					complete
hlsl-intrinsic/scalar-double-pow.slang#cuda-1	hlsl-intrinsic/scalar-double-pow.slang	cuda_sm_7_0	False	mvp		correct	4313					preflight	3883	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_pow($0, $1), signature=double(double, double)'	preflight	4089	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_pow($0, $1), signature=double(double, double)'	complete
hlsl-intrinsic/scalar-double-rcp.slang#cuda-1	hlsl-intrinsic/scalar-double-rcp.slang	cuda_sm_7_0	False	mvp		correct	4203					correct	3962					correct	3954					complete
hlsl-intrinsic/scalar-double-rsqrt.slang#cuda-1	hlsl-intrinsic/scalar-double-rsqrt.slang	cuda_sm_7_0	False	mvp		correct	4295					preflight	4006	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_rsqrt($0), signature=double(double)'	preflight	3757	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_rsqrt($0), signature=double(double)'	complete
hlsl-intrinsic/scalar-double-saturate.slang#cuda-1	hlsl-intrinsic/scalar-double-saturate.slang	cuda_sm_7_0	False	mvp		correct	4217					correct	4159					correct	4069					complete
hlsl-intrinsic/scalar-double-sign.slang#cuda-1	hlsl-intrinsic/scalar-double-sign.slang	cuda_sm_7_0	False	mvp		correct	4165					preflight	3843	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_sign($0), signature=int(double)'	preflight	4127	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_sign($0), signature=int(double)'	complete
hlsl-intrinsic/scalar-double-simple.slang#cuda-1	hlsl-intrinsic/scalar-double-simple.slang	cuda_sm_7_0	False	mvp		correct	4066					preflight	3674	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asuint($0, $1, $2), signature=Void(double, OutParam<uint>, OutParam<uint>)'	preflight	4065	GenericAsm	generic-asm-ordinary-intrinsic	StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction semantic resolution	direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly=$P_asuint($0, $1, $2), signature=Void(double, OutParam<uint>, OutParam<uint>)'	complete
hlsl-intrinsic/scalar-double-sin.slang#cuda-1	hlsl-intrinsic/scalar-double-sin.slang	cuda_sm_7_0	False	mvp		correct	4035					correct	3939					correct	4033					complete
